Rt_no_lower,Date
3.047840172157203,2020-08-24
2.908686402867548,2020-08-25
2.760936639116206,2020-08-26
2.621511890110491,2020-08-27
2.487920342183937,2020-08-28
2.3617715967851427,2020-08-29
2.2443844096553827,2020-08-30
2.130541548360126,2020-08-31
2.0218569569477958,2020-09-01
1.9223264073518855,2020-09-02
1.8291374004606729,2020-09-03
1.7369402443607074,2020-09-04
1.6480761757263993,2020-09-05
1.5663478560415074,2020-09-06
1.4991169882060695,2020-09-07
1.4469470635769623,2020-09-08
1.427324969471355,2020-09-09
1.4522774819974194,2020-09-10
1.5226753544954608,2020-09-11
1.6320515537234543,2020-09-12
1.766473385590945,2020-09-13
1.8941896531367062,2020-09-14
2.017021920398746,2020-09-15
2.107563702802791,2020-09-16
2.1428570123560755,2020-09-17
2.113064444912351,2020-09-18
2.0267713416460214,2020-09-19
1.8695224571300584,2020-09-20
1.6369690564952954,2020-09-21
1.359076860520471,2020-09-22
1.0591495585954598,2020-09-23
0.7904439255863095,2020-09-24
0.5663173391083394,2020-09-25
0.40724710923774166,2020-09-26
0.30228452885369783,2020-09-27
0.23528228460933648,2020-09-28
0.19506023158339528,2020-09-29
0.17090824177503092,2020-09-30
0.15435204437104674,2020-10-01
0.14484813653597495,2020-10-02
0.13808734686781268,2020-10-03
0.1345734313395943,2020-10-04
0.13230215795253666,2020-10-05
0.13156757909815836,2020-10-06
0.1306752047493101,2020-10-07
0.13086870227477718,2020-10-08
0.13179497578379099,2020-10-09
0.13388780518017665,2020-10-10
0.13753354604316997,2020-10-11
0.14325425620859136,2020-10-12
0.1511146510725089,2020-10-13
0.16206680295232698,2020-10-14
0.17628882390849848,2020-10-15
0.19147689965393047,2020-10-16
0.2055281955997149,2020-10-17
0.21743183453586445,2020-10-18
0.22453483016325462,2020-10-19
0.22601494533135807,2020-10-20
0.22287807006958396,2020-10-21
0.21760081006034,2020-10-22
0.2120681076315449,2020-10-23
0.2065774188079072,2020-10-24
0.20150679394196808,2020-10-25
0.19783275922718227,2020-10-26
0.19438435591278333,2020-10-27
0.19115515005978453,2020-10-28
0.1884725416834895,2020-10-29
0.18544838922060486,2020-10-30
0.18281138305136335,2020-10-31
0.18072155264919573,2020-11-01
0.17926817520135452,2020-11-02
0.1772934584684499,2020-11-03
0.1755886610952648,2020-11-04
0.17379596071794526,2020-11-05
0.17157054379231976,2020-11-06
0.1681896839238833,2020-11-07
0.16444390777500806,2020-11-08
0.1606368064434427,2020-11-09
0.15775309736622567,2020-11-10
0.1548641026074003,2020-11-11
0.1529013407384077,2020-11-12
0.15136432684217066,2020-11-13
0.1502152802827702,2020-11-14
0.14927092607376036,2020-11-15
0.14851738291191668,2020-11-16
0.1488785906718437,2020-11-17
0.15035768616346928,2020-11-18
0.15293995421794337,2020-11-19
0.15767813494482183,2020-11-20
0.16436541491160114,2020-11-21
0.17092911872926755,2020-11-22
0.17803525405772294,2020-11-23
0.1841228312382965,2020-11-24
0.1888532175030299,2020-11-25
0.19135936741320497,2020-11-26
0.1930961356828427,2020-11-27
0.19335868986828017,2020-11-28
0.19060430512817692,2020-11-29
0.18694039718617889,2020-11-30
0.18092279765250152,2020-12-01
0.17285714598612503,2020-12-02
0.16434458133275417,2020-12-03
0.15524867344113277,2020-12-04
0.14758163550014403,2020-12-05
0.140865820368336,2020-12-06
0.1361229202103441,2020-12-07
0.1332673000227841,2020-12-08
0.1325366785982927,2020-12-09
0.1330183458739299,2020-12-10
0.13521628527523852,2020-12-11
0.138305587080164,2020-12-12
0.14414580217394546,2020-12-13
