Rt_no_upper,Date
3.5259238432134747,2020-08-24
3.35262484201567,2020-08-25
3.1738867793555308,2020-08-26
3.0118286159814014,2020-08-27
2.8580674147385983,2020-08-28
2.7224085751293683,2020-08-29
2.593360643618784,2020-08-30
2.471666907775152,2020-08-31
2.3649228476177284,2020-09-01
2.2654615659135424,2020-09-02
2.175843502385224,2020-09-03
2.0915085606310004,2020-09-04
2.0131936986879313,2020-09-05
1.9461428838792512,2020-09-06
1.8976717693064549,2020-09-07
1.869164683227751,2020-09-08
1.8924855110284742,2020-09-09
1.9668995981950823,2020-09-10
2.094415212927547,2020-09-11
2.2766603335593625,2020-09-12
2.4796572688936602,2020-09-13
2.6730304099574527,2020-09-14
2.840421287094879,2020-09-15
2.9385576614104587,2020-09-16
2.9663285224142473,2020-09-17
2.908264761855803,2020-09-18
2.768785391847919,2020-09-19
2.5352949695562192,2020-09-20
2.208982169604548,2020-09-21
1.834725791419151,2020-09-22
1.4228873211925388,2020-09-23
1.063800195600511,2020-09-24
0.7629650002740426,2020-09-25
0.5490079739158306,2020-09-26
0.4096654606029577,2020-09-27
0.32074135284259625,2020-09-28
0.2677868931068725,2020-09-29
0.2368745549712403,2020-09-30
0.21575950980216782,2020-10-01
0.20452240803401378,2020-10-02
0.19760208966616666,2020-10-03
0.19404841216935004,2020-10-04
0.193449026112331,2020-10-05
0.19418999310376991,2020-10-06
0.19551577989208255,2020-10-07
0.19731560728857675,2020-10-08
0.20032634301798,2020-10-09
0.20488413161965874,2020-10-10
0.2110886230828947,2020-10-11
0.2193380653472884,2020-10-12
0.23051314797067068,2020-10-13
0.24485420648770828,2020-10-14
0.26108342327352546,2020-10-15
0.27809368472735774,2020-10-16
0.2916591738067966,2020-10-17
0.30208883386021274,2020-10-18
0.30461514165988385,2020-10-19
0.3002105250299057,2020-10-20
0.29135351356767164,2020-10-21
0.28108176480909935,2020-10-22
0.2705377989775848,2020-10-23
0.26132145253006595,2020-10-24
0.25360008294006037,2020-10-25
0.24720558973400605,2020-10-26
0.2418985010678323,2020-10-27
0.2374292799547359,2020-10-28
0.23291592975463296,2020-10-29
0.22866572610741806,2020-10-30
0.22578154164960657,2020-10-31
0.22328705922726425,2020-11-01
0.22110783301044568,2020-11-02
0.21884992424304958,2020-11-03
0.21718594387035803,2020-11-04
0.2150776124940761,2020-11-05
0.21263819191295155,2020-11-06
0.20937641785196445,2020-11-07
0.20595017615874747,2020-11-08
0.2027069464742112,2020-11-09
0.20017909506794754,2020-11-10
0.19809495501984273,2020-11-11
0.19720961667868742,2020-11-12
0.19695137448783315,2020-11-13
0.1973767015357498,2020-11-14
0.19789574593042425,2020-11-15
0.19912086335015936,2020-11-16
0.20090853328682465,2020-11-17
0.20451091762406715,2020-11-18
0.2097517652300401,2020-11-19
0.21794360484230585,2020-11-20
0.22695640898961592,2020-11-21
0.23725706070219288,2020-11-22
0.24646383245612608,2020-11-23
0.2537702060810765,2020-11-24
0.25891341183483363,2020-11-25
0.2616858204879953,2020-11-26
0.2633265184113129,2020-11-27
0.2619122659971166,2020-11-28
0.25883772200559,2020-11-29
0.2540652484073961,2020-11-30
0.2468288273516748,2020-12-01
0.23747972008428653,2020-12-02
0.22785837791630412,2020-12-03
0.21851621629749204,2020-12-04
0.21066973213448403,2020-12-05
0.20474404435200302,2020-12-06
0.20180316774632176,2020-12-07
0.20205975929543918,2020-12-08
0.20554404826065503,2020-12-09
0.21123441501601772,2020-12-10
0.21924760108566713,2020-12-11
0.22849780263034045,2020-12-12
0.23974210027403275,2020-12-13
